Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
bl_eligible_table,randomization,,descriptive,"<div class=""rich-text-field-label""><h5>Baseline Overview</h5> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.2861%;"">Overall BL eligibility:</td> <td style=""width: 66.5722%;"" colspan=""2""><span style=""color: #2c69ac;"">[bl_eligible_text]</span></td> </tr> <tr> <td style=""width: 33.2861%;""> <p style=""text-align: center;"">Currently taking PrEP?</p> <p style=""text-align: center;"">[preptaken]</p> <p style=""text-align: center;""><span style=""color: #3598db;"">[bl_prep_use_text]</span></p> </td> <td style=""width: 33.2861%;""> <p style=""text-align: center;"">Currently using BH services?</p> <p style=""text-align: center;"">[bhtx]</p> <p style=""text-align: center;""><span style=""color: #3598db;"">[bl_bhtx_use_text]</span></p> </td> <td style=""width: 33.2861%;""> <p style=""text-align: center;"">At least 1 MH or SU concern?</p> <p style=""text-align: center;"">Total: [bl_mhsu_dx_total]</p> <p style=""text-align: center;""><span style=""color: #3598db;"">[bl_mhsu_dx_total_text]</span></p> </td> </tr> </tbody> </table> <p>MH & SU Concerns Overview</p> <table style=""border-collapse: collapse; width: 100%; height: 249px;"" border=""1""> <tbody> <tr style=""height: 25.6172px;""> <td style=""width: 51.0852%; height: 25.6172px;"" colspan=""2"">MH Concerns</td> <td style=""width: 48.9148%; height: 25.6172px;"" colspan=""2"">SU Concerns (TAPS-2)</td> </tr> <tr style=""height: 44.0547px;""> <td style=""width: 26.3386%; height: 44.0547px;"">Depression (CESD-10): 10+</td> <td style=""width: 24.7465%; height: 44.0547px;"">[cesd_all_total], <span style=""color: #236fa1;"">[cesd_eligible_text]</span></td> <td style=""width: 24.0234%; height: 44.0547px;"">Alcohol: 2+</td> <td style=""width: 24.8915%; height: 44.0547px;"">[taps2_sum], <span style=""color: #236fa1;"">[taps2_eligible_text]</span></td> </tr> <tr style=""height: 25.6172px;""> <td style=""width: 26.3386%; height: 25.6172px;"">Anxiety (GAD-7): 10+</td> <td style=""width: 24.7465%; height: 25.6172px;"">[gad_total_all], <span style=""color: #236fa1;"">[gad_eligible_text]</span></td> <td style=""width: 24.0234%; height: 25.6172px;"">Marijuana: 2+</td> <td style=""width: 24.8915%; height: 25.6172px;"">[taps3_sum], <span style=""color: #236fa1;"">[taps3_eligible_text]</span></td> </tr> <tr style=""height: 25.6172px;""> <td style=""width: 26.3386%; height: 25.6172px;"">PTSD (PTSD-5): 3+</td> <td style=""width: 24.7465%; height: 25.6172px;"">[ptsd_sum], <span style=""color: #236fa1;"">[ptsd_eligible_text]</span></td> <td style=""width: 24.0234%; height: 25.6172px;"">Methamphetamines: 1+</td> <td style=""width: 24.8915%; height: 25.6172px;"">[taps4_sum], <span style=""color: #236fa1;"">[taps4_eligible_text]</span></td> </tr> <tr style=""height: 25.6172px;""> <td style=""width: 26.3386%; height: 25.6172px;"">Social Anxiety (SIAS-6): 7+</td> <td style=""width: 24.7465%; height: 25.6172px;"">[sias_sum], <span style=""color: #236fa1;"">[sias_eligible_text]</span></td> <td style=""width: 24.0234%; height: 25.6172px;"">Heroin: 1+</td> <td style=""width: 24.8915%; height: 25.6172px;"">[taps5_sum], <span style=""color: #236fa1;"">[taps5_eligible_text]</span></td> </tr> <tr style=""height: 25.6172px;""> <td style=""width: 26.3386%; height: 25.6172px;"">Social Phobia (SPS-6): 2+</td> <td style=""width: 24.7465%; height: 25.6172px;"">[sps_sum], <span style=""color: #236fa1;"">[sps_eligible_text]</span></td> <td style=""width: 24.0234%; height: 25.6172px;"">Opiates: 1+</td> <td style=""width: 24.8915%; height: 25.6172px;"">[taps6_sum], <span style=""color: #236fa1;"">[taps6_eligible_text]</span></td> </tr> <tr style=""height: 25.6172px;""> <td style=""width: 26.3386%; height: 25.6172px;""> </td> <td style=""width: 24.7465%; height: 25.6172px;""> </td> <td style=""width: 24.0234%; height: 25.6172px;"">Anxiety: 1+</td> <td style=""width: 24.8915%; height: 25.6172px;"">[taps7_sum], <span style=""color: #236fa1;"">[taps7_eligible_text]</span></td> </tr> <tr style=""height: 25.6172px;""> <td style=""width: 26.3386%; height: 25.6172px;""> </td> <td style=""width: 24.7465%; height: 25.6172px;""> </td> <td style=""width: 24.0234%; height: 25.6172px;"">ADHD Rx: 1+</td> <td style=""width: 24.8915%; height: 25.6172px;"">[taps8_sum], <span style=""color: #236fa1;"">[taps8_eligible_text]</span></td> </tr> <tr style=""height: 25.625px;""> <td style=""width: 26.3386%; height: 25.625px;""> </td> <td style=""width: 24.7465%; height: 25.625px;""> </td> <td style=""width: 24.0234%; height: 25.625px;"">Other drugs: 2+</td> <td style=""width: 24.8915%; height: 25.625px;"">[taps9_sum], <span style=""color: #236fa1;"">[taps9_eligible_text]</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
bl_eligible,randomization,,calc,Overall BL eligibility ,"if((([preptaken] = 3 OR [preptaken] = 2 OR [preptaken] = 1) AND 
([bhtx] = 3 OR [bhtx] = 2 OR [bhtx] = 1) AND
[bl_mhsu_dx_total] >= 1), 1,0)",,,,,,,,,,,, @HIDDEN
bl_eligible_text,randomization,,text,Overall bl eligibility text,,,,,,,,,,,,," @CALCTEXT(if([bl_eligible] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
bl_prep_use,randomization,,calc,baseline prep use check,"if(([preptaken] = 3 OR [preptaken] = 2 OR [preptaken] = 1), 1,0)",,,,,,,,,,,, @HIDDEN
bl_prep_use_text,randomization,,text,BL prep use text,,,,,,,,,,,,," @CALCTEXT(if([bl_prep_use] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
bl_bhtx_use,randomization,,calc,BL using BH services in past 3 mo check,"if(([bhtx] = 3 OR [bhtx] = 2 OR [bhtx] = 1), 1,0)",,,,,,,,,,,, @HIDDEN
bl_bhtx_use_text,randomization,,text,BL use of BH tx services past 3 months text,,,,,,,,,,,,," @CALCTEXT(if([bl_bhtx_use] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
taps2_sum,randomization,,calc,TAPS-2 alcohol sum,"sum(if([taps2a]=-999, 0, [taps2a]), if([taps2b]=-999, 0, [taps2b]), if([taps2c]=-999, 0, [taps2c]))",,,,,,,,,,,, @HIDDEN
taps2_eligible,randomization,,calc,TAPS-2 alcohol score >= 2,"if([taps2_sum] >= 2, 1, 0)",,,,,,,,,,,, @HIDDEN
taps2_eligible_text,randomization,,text,TAPS2 eligible text,,,,,,,,,,,,," @CALCTEXT(if([taps2_eligible] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
taps3_sum,randomization,,calc,TAPS-2 marijuana sum,"sum(if([taps3a] = -999, 0, [taps3a]), if([taps3b] = -999, 0, [taps3b]))",,,,,,,,,,,, @HIDDEN
taps3_eligible,randomization,,calc,TAPS-2 marijuana score >= 2,"if([taps3_sum] >= 2, 1,0)",,,,,,,,,,,, @HIDDEN
taps3_eligible_text,randomization,,text,TAPS3 eligible text,,,,,,,,,,,,," @CALCTEXT(if([taps3_eligible] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
taps4_sum,randomization,,calc,TAPS-2 methamphetatines sum,"sum(if([taps4a]=-999, 0, [taps4a]), if([taps4b]=-999, 0, [taps4b]))",,,,,,,,,,,, @HIDDEN
taps4_eligible,randomization,,calc,TAPS-2 methamphetamines score >= 1,"if([taps4_sum] >= 1, 1,0)",,,,,,,,,,,, @HIDDEN
taps4_eligible_text,randomization,,text,TAPS4 eligible text,,,,,,,,,,,,," @CALCTEXT(if([taps4_eligible] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
taps5_sum,randomization,,calc,TAPS-2 heroin sum,"sum(if([taps5a]=-999, 0, [taps5a]), if([taps5b]=-999, 0, [taps5b]))",,,,,,,,,,,, @HIDDEN
taps5_eligible,randomization,,calc,TAPS-2 heroin score >= 1,"if([taps5_sum] >= 1, 1,0)",,,,,,,,,,,, @HIDDEN
taps5_eligible_text,randomization,,text,TAPS5 eligible text,,,,,,,,,,,,," @CALCTEXT(if([taps5_eligible] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
taps6_sum,randomization,,calc,TAPS-2 opiates sum,"sum(if([taps6a]=-999, 0, [taps6a]), if([taps6b]=-999, 0, [taps6b]))",,,,,,,,,,,, @HIDDEN
taps6_eligible,randomization,,calc,TAPS-2 opiates score >= 1,"if([taps6_sum] >= 1, 1,0)",,,,,,,,,,,, @HIDDEN
taps6_eligible_text,randomization,,text,TAPS6 eligible text,,,,,,,,,,,,," @CALCTEXT(if([taps6_eligible] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
taps7_sum,randomization,,calc,TAPS-2 anxiety rx sum,"sum(if([taps7a]=-999, 0, [taps7a]), if([taps7b]=-999, 0, [taps7b]))",,,,,,,,,,,, @HIDDEN
taps7_eligible,randomization,,calc,TAPS-2 anxiety rx score >= 1,"if([taps7_sum] >= 1, 1,0)",,,,,,,,,,,, @HIDDEN
taps7_eligible_text,randomization,,text,TAPS7 eligible text,,,,,,,,,,,,," @CALCTEXT(if([taps7_eligible] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
taps8_sum,randomization,,calc,TAPS-2 ADHD rx sum,"sum(if([taps8a]=-999, 0, [taps8a]), if([taps8b]=-999, 0, [taps8b]))",,,,,,,,,,,, @HIDDEN
taps8_eligible,randomization,,calc,TAPS-2 ADHD rx score >= 1,"if([taps8_sum] >= 1, 1,0)",,,,,,,,,,,, @HIDDEN
taps8_eligible_text,randomization,,text,TAPS8 eligible text,,,,,,,,,,,,," @CALCTEXT(if([taps8_eligible] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
taps9_sum,randomization,,calc,TAPS-2 other drugs sum,"sum(if([taps9b]=-999, 0, [taps9b]), if([taps9c]=-999, 0, [taps9c]))",,,,,,,,,,,, @HIDDEN
taps9_eligible,randomization,,calc,TAPS-2 other rx score >= 2,"if([taps9_sum] >= 2, 1,0)",,,,,,,,,,,, @HIDDEN
taps9_eligible_text,randomization,,text,TAPS9 eligible text,,,,,,,,,,,,," @CALCTEXT(if([taps9_eligible] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
bl_mhsu_dx_total,randomization,,calc,"<div class=""rich-text-field-label""><p>Total MH & SU concerns</p></div>","sum([taps2_eligible], [taps3_eligible], [taps4_eligible], [taps5_eligible], [taps6_eligible], [taps7_eligible], [taps8_eligible], [taps9_eligible], [cesd_eligible], [gad_eligible], [sias_has_socl_anxiety], [sps_has_socl_phobia], [ptsd_eligible])",,,,,,,,,,,, @HIDDEN
bl_mhsu_dx_total_text,randomization,,text,BL BH SU total text,,,,,,,,,,,,," @CALCTEXT(if([bl_mhsu_dx_total] >= 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
bl_random_eligible,randomization,,calc,Eligible for randomization,"if(([screening_arm_1][brief_eligibility_all] = 1 AND
[screening_arm_1][full_eligibility_all] = 1 AND
[baseline_arm_1][bl_eligible] = 1), 1,0)",,,,,,,,,,,, @HIDDEN
bl_random_eligible_header,randomization,,descriptive,"<div class=""rich-text-field-label""><div class=""green"" style=""text-align: center;""> <h5 style=""text-align: center;"">Participant is ELIGIBLE for randomization</h5> Confirm with Audrey before proceeding</div></div>",,,,,,,[bl_random_eligible] = '1',,,,,,
bl_random_eligible_header_2,randomization,,descriptive,"<div class=""rich-text-field-label""><div class=""red"" style=""text-align: center;""> <h5 style=""text-align: center;"">Participant is NOT ELIGIBLE for randomization</h5> Review this page; no further action necessary once confirmed</div></div>",,,,,,,[bl_random_eligible] = '0' AND [bl_random_eligible] <> '',,,,,,
pre_randomize,randomization,,radio,"<div class=""rich-text-field-label""><h6>Has research staff confirmed eligibility with the PI or other appropriate staff?</h6></div>","1, Yes",,,,,,,,,,,,
randomize,randomization,,radio,"<div class=""rich-text-field-label""><p>Randomization</p></div>","1, Control | 2, Oye Miami | 3, Dime Mas",,,,,,[pre_randomize] = 1,,,,,,
is_randomized,randomization,,calc,"<div class=""rich-text-field-label""><p>Was this person randomized?</p></div>","if(([randomize] = 1 OR [randomize] = 2 OR [randomize] = 3), 1,0)",,,,,,,,,,,, @HIDDEN
fu_windows_table,randomization,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Date of randomization: {randomize_date}</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 50.1416%; text-align: center;"" colspan=""3"">3MFU Window</td> <td style=""width: 49.8584%; text-align: center;"" colspan=""3"">6MFU Window</td> </tr> <tr> <td style=""width: 16.7139%; text-align: center;""> <p style=""text-align: center;"">Early</p> <p style=""text-align: center;""><span style=""color: #01960f;"">[early_date_3m]</span></p> </td> <td style=""width: 16.7139%; text-align: center;""> <p style=""text-align: center;"">Starts</p> <p style=""text-align: center;""><span style=""color: #236fa1;"">[start_date_3m]</span></p> </td> <td style=""width: 16.7139%; text-align: center;""> <p style=""text-align: center;"">Closes</p> <p style=""text-align: center;""><span style=""color: #ba372a;"">[close_date_3m]</span></p> </td> <td style=""width: 16.7139%; text-align: center;""> <p style=""text-align: center;"">Early</p> <p style=""text-align: center;""><span style=""color: #01960f;"">[early_date_6m]</span></p> <p style=""text-align: center;""><span style=""color: #000000;"">If 3MFU missed</span></p> <p style=""text-align: center;""><span style=""color: #06b2be;"">[early_date_6m_missed3m]</span></p> </td> <td style=""width: 16.7139%; text-align: center;""> <p style=""text-align: center;""><span style=""color: #000000;"">Starts</span></p> <p style=""text-align: center;""><span style=""color: #236fa1;"">[start_date_6m]</span></p> </td> <td style=""width: 16.4306%; text-align: center;""> <p style=""text-align: center;"">Closes</p> <p style=""text-align: center;""><span style=""color: #ba372a;"">[close_date_6m]</span></p> </td> </tr> </tbody> </table></div>",,,,,,,[randomize] <> '',,,,,,
randomize_date,randomization,,text,Date of randomization,,,date_mdy,,,,,,,,,,
early_date_3m,randomization,,text,3M FU early start date,,,date_mdy,,,,,,,,,," @CALCDATE([randomize_date], 76, 'd')
@HIDDEN"
start_date_3m,randomization,,text,3mfu start date,,,date_mdy,,,,,,,,,," @CALCDATE([randomize_date], 90, 'd')
@HIDDEN"
close_date_3m,randomization,,text,3mfu close date,,,date_mdy,,,,,,,,,," @CALCDATE([start_date_3m], 45, 'd')
@HIDDEN"
early_date_6m_missed3m,randomization,,text,6mfu early start date (for those that missed 3mfu,,,date_mdy,,,,,,,,,," @CALCDATE([close_date_3m], 7, 'd')
@HIDDEN"
early_date_6m,randomization,,text,6mfu early start date,,,date_mdy,,,,,,,,,," @CALCDATE([randomize_date], 166, 'd')
@HIDDEN"
start_date_6m,randomization,,text,6mfu start date,,,date_mdy,,,,,,,,,," @CALCDATE([randomize_date], 180, 'd')
@HIDDEN"
close_date_6m,randomization,,text,6mfu closing date,,,date_mdy,,,,,,,,,," @CALCDATE([start_date_6m], 45, 'd')
@HIDDEN"
control_track,control_condition_tracking,,yesno,"<div class=""rich-text-field-label""><p>Has research staff explained the referral list and provided the tool?</p></div>",,,,,,,,y,,,,,
oye_miami_track,oye_miami_condition_tracking,,yesno,"<div class=""rich-text-field-label""><p>Has research staff provided the explanation of Oye Miami AND the required link?</p></div>",,,,,,,,y,,,,,
oyemia_email_pref,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Email method preference</p></div>","1, Regular (non-encrypted) emails | 2, Encrypted emails",,,,,,,y,,,,,
oyemia_freq,oye_miami_condition_tracking,,radio,Email frequency preference,"1, Weekly | 2, Biweekly | 3, Monthly",,,,,,,y,,,,,
oyemia_emails_table,oye_miami_condition_tracking,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 19.9711%;""> <p>Email 1 Sent</p> <p>{oyemia_em1}</p> <p>Date Sent:</p> <p>{oyemia_date_em1}</p> </td> <td style=""width: 19.9711%;""> <p>Email 2 Sent</p> <p>{oyemia_em2}</p> <p>Date Sent:</p> <p>{oyemia_date_em2}</p> </td> <td style=""width: 19.9711%;""> <p>Email 3 Sent</p> <p>{oyemia_em3}</p> <p>Date Sent:</p> <p>{oyemia_date_em3}</p> </td> <td style=""width: 19.9711%;""> <p>Email 4 Sent</p> <p>{oyemia_em4}</p> <p>Date Sent:</p> <p>{oyemia_date_em4}</p> </td> <td style=""width: 19.9711%;""> <p>Email 5 Sent</p> <p>{oyemia_em5}</p> <p>Date Sent:</p> <p>{oyemia_date_em5}</p> </td> </tr> <tr> <td style=""width: 19.9711%;""> <p>Email 6 Sent</p> <p>{oyemia_em6}</p> <p>Date Sent:</p> <p>{oyemia_date_em6}</p> </td> <td style=""width: 19.9711%;""> <p>Email 7 Sent</p> <p>{oyemia_em7}</p> <p>Date Sent:</p> <p>{oyemia_date_em7}</p> </td> <td style=""width: 19.9711%;""> <p>Email 8 Sent</p> <p>{oyemia_em8}</p> <p>Date Sent:</p> <p>{oyemia_date_em8}</p> </td> <td style=""width: 19.9711%;""> <p>Email 9 Sent</p> <p>{oyemia_em9}</p> <p>Date Sent:</p> <p>{oyemia_date_em9}</p> </td> <td style=""width: 19.9711%;""> <p>Email 10 Sent</p> <p>{oyemia_em10}</p> <p>Date Sent:</p> <p>{oyemia_date_em10}</p> </td> </tr> <tr> <td style=""width: 19.9711%;""> <p>Email 11 Sent</p> <p>{oyemia_em11}</p> <p>Date Sent:</p> <p>{oyemia_date_em11}</p> </td> <td style=""width: 19.9711%;""> <p>Email 12 Sent</p> <p>{oyemia_em12}</p> <p>Date Sent:</p> <p>{oyemia_date_em12}</p> </td> <td style=""width: 19.9711%;""> <p>Email 13 Sent</p> <p>{oyemia_em13}</p> <p>Date Sent:</p> <p>{oyemia_date_em13}</p> </td> <td style=""width: 19.9711%;""> <p>Email 14 Sent</p> <p>{oyemia_em14}</p> <p>Date Sent:</p> <p>{oyemia_date_em14}</p> </td> <td style=""width: 19.9711%;""> <p>Email 15 Sent</p> <p>{oyemia_em15}</p> <p>Date Sent:</p> <p>{oyemia_date_em15}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
oyemia_em1,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 1</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em2,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 2</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em3,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 3</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em4,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 4</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em5,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 5</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em6,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 6</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em7,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 7</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em8,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 8</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em9,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 9</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em10,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 10</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em11,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 11</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em12,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 12</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em13,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 13</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em14,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 14</p></div>","1, Yes",,,,,,,,,,,,
oyemia_em15,oye_miami_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Sent email 15</p></div>","1, Yes",,,,,,,,,,,,
oyemia_date_em1,oye_miami_condition_tracking,,text,date sent email 1 ,,,date_mdy,,,,,,,,,,
oyemia_date_em2,oye_miami_condition_tracking,,text,date sent email 2,,,date_mdy,,,,,,,,,,
oyemia_date_em3,oye_miami_condition_tracking,,text,date sent email 3,,,date_mdy,,,,,,,,,,
oyemia_date_em4,oye_miami_condition_tracking,,text,date sent email 4,,,date_mdy,,,,,,,,,,
oyemia_date_em5,oye_miami_condition_tracking,,text,date sent email 5,,,date_mdy,,,,,,,,,,
oyemia_date_em6,oye_miami_condition_tracking,,text,date sent email 6,,,date_mdy,,,,,,,,,,
oyemia_date_em7,oye_miami_condition_tracking,,text,date sent email 7,,,date_mdy,,,,,,,,,,
oyemia_date_em8,oye_miami_condition_tracking,,text,date sent email 8,,,date_mdy,,,,,,,,,,
oyemia_date_em9,oye_miami_condition_tracking,,text,date sent email 9,,,date_mdy,,,,,,,,,,
oyemia_date_em10,oye_miami_condition_tracking,,text,date sent email 10,,,date_mdy,,,,,,,,,,
oyemia_date_em11,oye_miami_condition_tracking,,text,date sent email 11 ,,,date_mdy,,,,,,,,,,
oyemia_date_em12,oye_miami_condition_tracking,,text,date sent email 12 ,,,date_mdy,,,,,,,,,,
oyemia_date_em13,oye_miami_condition_tracking,,text,date sent email 13,,,date_mdy,,,,,,,,,,
oyemia_date_em14,oye_miami_condition_tracking,,text,date sent email 14,,,date_mdy,,,,,,,,,,
oyemia_date_em15,oye_miami_condition_tracking,,text,date sent email 15,,,date_mdy,,,,,,,,,,
dime_mas_track_1,dime_mas_condition_tracking,,yesno,"<div class=""rich-text-field-label""><p>Has research staff sent the necessary referral to Care Resource?</p></div>",,,,,,,,y,,,,,
dime_mas_track_2,dime_mas_condition_tracking,,text,"<div class=""rich-text-field-label""><p>Date of referral:</p></div>",,,date_mdy,,,,,y,,,,,
dime_mas_track_3,dime_mas_condition_tracking,,radio,"<div class=""rich-text-field-label""><p>Assigned counselor</p></div>","1, hold",,,,,,,y,,,,,
dime_mas_track_4,dime_mas_condition_tracking,,text,"<div class=""rich-text-field-label""><p>Date of scheduled first session:</p></div>",,,date_mdy,,,,,,,,,,
pss_intro_1,dm_group_facilitator_post_session_1,,descriptive,"<div class=""rich-text-field-label""><h6>Please complete the following questions regarding the initial session of Dime Más for participant <span style=""color: #06b2be;"">[record_id]</span>.</h6></div>",,,,,,,,,,,,,
pss_date_1,dm_group_facilitator_post_session_1,,text,"<div class=""rich-text-field-label""><p>What date did the initial session occur?</p></div>",,,date_mdy,,,,,y,,,,,
pss_staff_1,dm_group_facilitator_post_session_1,,radio,"<div class=""rich-text-field-label""><p>Who delivered this session?</p></div>","1, hold | 2, Someone else {pss_staff_oth_1}",,,,,,,y,,,,,
pss_staff_oth_1,dm_group_facilitator_post_session_1,,text,"Other staff delivered session, specified",,,,,,,,,,,,, @PLACEHOLDER = 'please specify'
pss_table1_1,dm_group_facilitator_post_session_1,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 118px;"" border=""1""> <tbody> <tr style=""height: 43px;""> <td style=""width: 100%; height: 43px;"" colspan=""2"">How many times did you or the participant cancel or no show for prior to the session? (we are trying to find out how common it is to have to schedule multiple times)</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_ptcancel_1}</td> <td style=""width: 84.132%; height: 25px;"">Number of times the client canceled/reschedule this session prior to the session actually taking place</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_ptabsent_1}</td> <td style=""width: 84.132%; height: 25px;"">Number of times the client no-showed for this session prior to the session actually taking place</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_staffcancel_1}</td> <td style=""width: 84.132%; height: 25px;"">Number of times I had to cancel/reschedule this session prior to the session actually taking place</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
pss_ptcancel_1,dm_group_facilitator_post_session_1,,text,# of times the client canceled/reschedule this session prior to the session actually taking place,,,integer,0,,,,y,,,,,
pss_ptabsent_1,dm_group_facilitator_post_session_1,,text,# of times the client no-showed for this session prior to the session actually taking place ,,,integer,0,,,,y,,,,,
pss_staffcancel_1,dm_group_facilitator_post_session_1,,text,# of times I had to cancel/reschedule this session prior to the session actually taking place,,,integer,0,,,,y,,,,,
pss_schedule_1,dm_group_facilitator_post_session_1,,text,"<div class=""rich-text-field-label""><p>When did you schedule the 1<sup>st</sup> check in with this participant?</p></div>",,,datetime_mdy,,,,,y,,,,,
pss_content_1,dm_group_facilitator_post_session_1,,checkbox,"<div class=""rich-text-field-label""><p>What did you cover in today's Dime Más session? If you skipped anything, please add a brief explanation below (this is not a problem, this is just so we understand what led to content being skipped)</p></div>","1, Explained the background and purpose of the Dime Más program | 2, Exchanged introductions with the participant | 3, Reviewed at least one peer story with the participant | 4, Explained how sexual health and behavioral health (mental health/substance use) are linked to each other | 5, Discussed the participant's own sexual behavior and behavioral health (from assessments) | 6, Reviewed fact sheets about PrEP, HIV testing, and behavioral health | 7, Completed decisional balance worksheet | 8, Made a plan based on the participant's goals | 9, Provided a referral card | 10, Something else {pss_content_oth_1}",,,,,,,y,,,,,
pss_content_oth_1,dm_group_facilitator_post_session_1,,text,"other content covered, specified",,,,,,,[pss_content_1(10)],y,,,,, @PLACEHOLDER = 'please describe'
pss_whyskip_1,dm_group_facilitator_post_session_1,,notes,"<div class=""rich-text-field-label""><p>For any of the topics in the prior item that were not checked off, please describe. What led to this part not being covered?</p></div>",,,,,,,,y,,,,,
pss_table2_1,dm_group_facilitator_post_session_1,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 100%;"" colspan=""2"">Please document the following information regarding this session with this participant. All items are mutually exclusive. For example, if you did something and you are not sure whether it should count as ""paperwork"" or ""preparation"" for the session, choose one and record it there (do not record in both categories):</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent on paperwork/administrative tasks related to the initial session:</td> <td style=""width: 24.9007%;"">{pss_papers_1} (minutes)</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent on phone calls/emails/text messaging related to the initial session:</td> <td style=""width: 24.9007%;"">{pss_contact_1} (minutes)</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent in the initial session:</td> <td style=""width: 24.9007%;"">{pss_duration_1} (minutes}</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent preparing for the the initial session:</td> <td style=""width: 24.9007%;"">{pss_prep_1} (minutes)</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent doing notes/documenting the the initial session:</td> <td style=""width: 24.9007%;"">{pss_notes_1} (minutes)</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent in supervision/managing logistics related to this participant's initial session:</td> <td style=""width: 24.9007%;"">{pss_admin_1} (minutes)</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
pss_papers_1,dm_group_facilitator_post_session_1,,text,"<div class=""rich-text-field-label""><p>Time spent on paperwork/administrative tasks related to the initial session, minutes</p></div>",,,integer,0,,,,y,,,,,
